article_id,title,article_url,section_count,step_section_count,link_count,categories,headings,source_export,json_file
KB0014369,How do I access my Canvas courses as a student?,https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0014369,2,0,5,IT Services | Teaching and Learning Technology - Canvas - Getting Started,Introduction | Access your Canvas course(s),canvas_kb.json,KB0014369.json
KB0014376,How do I log in to Canvas on a mobile device?,https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0014376,3,2,9,Teaching and Learning Technology - Canvas - Getting Started,How do I log in to Canvas on a mobile device? | Log in to Canvas Student | Log in to Canvas Teacher,canvas_kb.json,KB0014376.json
KB0014393,How do I import a rubric from Excel into Canvas?,https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0014393,3,0,1,IT Services | Teaching and Learning Technology - Canvas - Assessments and Assignments,Introduction | Create a simple block rubric in Excel | Import your rubric in Canvas,canvas_kb.json,KB0014393.json
KB0014436,"How do I resolve blocked Duo prompts in macOS, iPadOS, and iOS?",https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0014436,2,2,0,IT Services | Accounts and Access - Northeastern Account Access - Multi-Factor Authentication (MFA),Disable content restrictions on iOS and iPad | Disable content restrictions on a Mac,mfa_kb.json,KB0014436.json
KB0014476,How do I use Respondus LockDown Browser and Monitor to proctor exams?,https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0014476,1,0,22,IT Services | Teaching and Learning Technology - Respondus,Introduction,canvas_kb.json,KB0014476.json
KB0014477,How do I take a test using Respondus LockDown Browser and Monitor?,https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0014477,1,0,7,IT Services | Teaching and Learning Technology - Respondus,Introduction,canvas_kb.json,KB0014477.json
KB0014527,How do I set a quiz time limit and availability window in Canvas?,https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0014527,4,0,4,IT Services | Teaching and Learning Technology - Canvas - Assessments and Assignments,Introduction | Set quiz time limit | Set quiz availability window | Notifications to students in quizzes,canvas_kb.json,KB0014527.json
KB0014530,How do I give students more time on a Canvas quiz?,https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0014530,3,0,4,IT Services | Teaching and Learning Technology - Canvas - Assessments and Assignments,Introduction | Award extra time | Vary extra time for students/groups,canvas_kb.json,KB0014530.json
KB0014565,What is Canvas Learning Management System?,https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0014565,7,0,29,IT Services | Teaching and Learning Technology - Canvas - Getting Started,Introduction | Access Canvas | Get started | Canvas course anatomy | Accessibility | Technology used | Support and training,canvas_kb.json,KB0014565.json
KB0014579,How do I access my Canvas course as an instructor?,https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0014579,2,0,4,Teaching and Learning Technology | Canvas | Getting Started,Introduction | Access course,canvas_kb.json,KB0014579.json
KB0014582,How do I send messages to students on Canvas?,https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0014582,2,0,4,IT Services | Teaching and Learning Technology | Canvas | Course Communication,Introduction | Send a message on Canvas,canvas_kb.json,KB0014582.json
KB0014585,How do I create and grade an assignment in Canvas?,https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0014585,5,0,6,IT Services | Teaching and Learning Technology - Canvas - Assessments and Assignments,Introduction | Create an assignment | Add an assignment to a module | Assign Weights to Gradebook | Grade an assignment,canvas_kb.json,KB0014585.json
KB0014587,How do I create and grade a quiz in Canvas?,https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0014587,6,0,7,IT Services | Teaching and Learning Technology | Canvas | Assessments and Assignments,Introduction | Create a quiz | Add questions to a quiz | Manage quiz settings | Add a quiz to a module | Manually grade a quiz,canvas_kb.json,KB0014587.json
KB0014594,How do I personalize teaching and learning in Canvas?,https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0014594,1,0,10,IT Services | Teaching and Learning Technology - Canvas - Getting Started,Introduction,canvas_kb.json,KB0014594.json
KB0014597,How do I (faculty) set the stage for learning in Canvas?,https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0014597,10,0,20,Teaching and Learning Technology - Canvas - Getting Started,Introduction | Section | Section | Section | Section | Section | Section | Section,canvas_kb.json,KB0014597.json
KB0014602,How do I send an announcement to students through Canvas?,https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0014602,2,0,2,IT Services | Teaching and Learning Technology | Canvas | Course Communication,Introduction | Create announcements,canvas_kb.json,KB0014602.json
KB0014955,How do I fix a refused to connect error in Canvas?,https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0014955,4,0,0,IT Services | Teaching and Learning Technology - Canvas - Getting Started,Introduction | Load external links in a new tab | External tool | External items in a module,canvas_kb.json,KB0014955.json
KB0015051,How do I change the course name in my Canvas course card list?,https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0015051,2,0,1,IT Services | Teaching and Learning Technology - Canvas - Getting Started,How do I change the course name in my Canvas course card list? | Create a nickname; Step,canvas_kb.json,KB0015051.json
KB0015064,How do I sync Canvas calendar to Outlook?,https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0015064,1,1,1,IT Services | Teaching and Learning Technology - Canvas - Getting Started,Introduction,canvas_kb.json,KB0015064.json
KB0015065,FAQ: Canvas time zone settings,https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0015065,11,0,12,IT Services | Teaching and Learning Technology - Canvas - Getting Started,FAQ: Canvas time zone settings | Table of contents; Links | Can I set a time zone for courses? | How do I manage multiple time zones in Canvas courses? | How do I choose due dates and times? | Can I excuse late work in the Canvas Gradebook? | Should I limit synchronous assignments and activities? | How do I utilize module features to control the pace of the course?,canvas_kb.json,KB0015065.json
KB0015123,How do I submit an assignment directly to Turnitin as an Instructors?,https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0015123,1,0,0,IT Services | Teaching and Learning Technology - Turnitin,Introduction,canvas_kb.json,KB0015123.json
KB0015124,How do I customize my applications on the Student/Employee Hub?,https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0015124,2,1,5,IT Services | Administrative and Business - Student Information Systems - Student Hub,Introduction | Customize your applications,studenthub_kb.json,KB0015124.json
KB0015126,How do I sync personal and academic calendars on the Student Hub?,https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0015126,2,1,4,Student Hub,Introduction | Sync calendars on the Student Hub,studenthub_kb.json,KB0015126.json
KB0015130,How do I update my Student/Employee Hub password and picture?,https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0015130,3,2,3,IT Services | Administrative and Business | Student Information Systems | Student Hub,Introduction | Update password | Update profile picture,studenthub_kb.json,KB0015130.json
KB0015142,How do I import Canvas course content into another Canvas shell?,https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0015142,5,1,12,IT Services | Teaching and Learning Technology - Canvas - Getting Started,How do I import Canvas course content into another Canvas shell? | Table of Contents; Links | Import course content | Additional resources | Help; Links,canvas_kb.json,KB0015142.json
KB0015162,How do I manage my Duo account and trusted devices?,https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0015162,4,2,11,IT Services | Accounts and Access | Northeastern Account Access | Multi-Factor Authentication (MFA),Register a mobile device | Register a landline | Use Touch ID for MFA on macOS | Register a token for MFA,mfa_kb.json,KB0015162.json
KB0015163,How do I set up Touch ID with Duo multi-factor authentication (MFA) on a Mac?,https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0015163,4,4,8,Accounts and Access | Northeastern Account Access | Multi-Factor Authentication (MFA),Touch ID requirements | Add Touch ID as a new authentication device | Log in using Touch ID | Resource,mfa_kb.json,KB0015163.json
KB0015181,"How do I teach a virtual lesson if I lose access to Canvas, Microsoft Teams, or Zoom?",https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0015181,4,0,5,IT Services | Teaching and Learning Technology - Canvas - Getting Started,Introduction | Launch a Teams meeting outside of Canvas | Launch a Zoom meeting outside of Canvas | Asynchronous alternatives,canvas_kb.json,KB0015181.json
KB0015209,How do I update my Duo enrollment when I get a new phone?,https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0015209,3,3,3,IT Services | Accounts and Access | Northeastern Account Access | Multi-Factor Authentication (MFA),If you kept the same phone number | If your phone number changed | If you need help,mfa_kb.json,KB0015209.json
KB0015240,How do I send messages through the Canvas mobile app?,https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0015240,2,0,1,IT Services | Teaching and Learning Technology | Canvas | Course Communication,Introduction | Send an email in the mobile app,canvas_kb.json,KB0015240.json
KB0015243,How do I design an effective online exam that promotes academic integrity?,https://service.northeastern.edu/tech?id=kb_article_view&sysparm_article=KB0015243,4,0,11,IT Services | Teaching and Learning Technology - Canvas - Assessments and Assignments,Introduction | Design an effective online exam | Ensure exam security and promote honesty | Resources for alternative assessment design,canvas_kb.json,KB0015243.json
